id|driver_id|company_id                          |account_id|fleet_id      |retailer_location_id|third_party_id      |trip_id                             |trip_type|distance_meters|overall_score|accel_score|brake_score|collision_score|phone_score|speed_score|turn_score|accel_incidents|brake_incidents|collision_incidents|phone_incidents|speed_incidents|turn_incidents|last_accel_incident|last_brake_incident|last_collision_incident|last_phone_incident|last_speed_incident|last_turn_incident|start_date   |end_date     |duration_seconds|geo                                                                                                                                                                                                                                                        |weather                                                                                   |created_at                   |updated_at                   |last_synced_at               |last_accel_incident_datetime |last_brake_incident_datetime |last_collision_incident_datetime|last_phone_incident_datetime |last_speed_incident_datetime |last_turn_incident_datetime  |start_date_datetime          |end_date_datetime            |
--+---------+------------------------------------+----------+--------------+--------------------+--------------------+------------------------------------+---------+---------------+-------------+-----------+-----------+---------------+-----------+-----------+----------+---------------+---------------+-------------------+---------------+---------------+--------------+-------------------+-------------------+-----------------------+-------------------+-------------------+------------------+-------------+-------------+----------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+--------------------------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
52|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|BA47C098-623D-4B17-B213-EFD33A620DE8|driver   |           6965|          0.0|        0.0|       20.0|          100.0|        0.0|      100.0|       0.0|           11.0|            4.0|                0.0|            8.0|            0.0|           7.0|      1780281853000|      1780281793000|                       |      1780281852000|                   |     1780282032000|1780281038000|1780281928000|             890|{"endLatitude": 40.4328625, "endLongitude": -80.00903945, "startLatitude": 40.45213666666667, "endDescription": "230 Grandview Ave Pittsburgh, PA", "startLongitude": -80.00381971666667, "startDescription": "2 Allegheny Square E Pittsburgh, PA"}       |{"weatherCode": 113, "weatherWind": 6.0, "weatherTempLow": 13.0, "weatherTempHigh": 13.0} |2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-01 02:44:13.000 +0530|2026-06-01 02:43:13.000 +0530|                                |2026-06-01 02:44:12.000 +0530|                             |2026-06-01 02:47:12.000 +0530|2026-06-01 02:30:38.000 +0530|2026-06-01 02:45:28.000 +0530|
53|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|D981BAA8-1304-4593-9C06-CE58540EB3A8|driver   |           9719|         10.0|       40.0|       40.0|          100.0|       40.0|      100.0|      80.0|            3.0|            3.0|                0.0|            3.0|            0.0|           1.0|      1780282572000|      1780282872000|                       |      1780282932000|                   |     1780283112000|1780282349000|1780283034000|             685|{"endLatitude": 40.45253961, "endLongitude": -80.00462428, "startLatitude": 40.43297333333333, "endDescription": "3 Allegheny Square E Pittsburgh, PA", "startLongitude": -80.00924833333333, "startDescription": "239 Grandview Ave Pittsburgh, PA"}      |{"weatherCode": 113, "weatherWind": 6.0, "weatherTempLow": 13.0, "weatherTempHigh": 13.0} |2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-01 02:56:12.000 +0530|2026-06-01 03:01:12.000 +0530|                                |2026-06-01 03:02:12.000 +0530|                             |2026-06-01 03:05:12.000 +0530|2026-06-01 02:52:29.000 +0530|2026-06-01 03:03:54.000 +0530|
54|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|3C980B33-DAFC-4D16-9AE6-CB23CAF77971|driver   |         177168|       54.612|     92.241|     84.483|          100.0|     76.724|     76.724|    68.966|            1.0|            2.0|                0.0|            3.0|            3.0|           4.0|      1780284792000|      1780288033000|                       |      1780289413000|      1780288933000|     1780289473000|1780284778000|1780289418000|            4640|{"endLatitude": 41.24457695, "endLongitude": -81.17504083, "startLatitude": 40.45247111666667, "endDescription": "9270 Limeridge Rd Mantua, OH", "startLongitude": -80.00465000000001, "startDescription": "3 Allegheny Square E Pittsburgh, PA"}          |{"weatherCode": 113, "weatherWind": 5.0, "weatherTempLow": 9.0, "weatherTempHigh": 13.0}  |2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-01 03:33:12.000 +0530|2026-06-01 04:27:13.000 +0530|                                |2026-06-01 04:50:13.000 +0530|2026-06-01 04:42:13.000 +0530|2026-06-01 04:51:13.000 +0530|2026-06-01 03:32:58.000 +0530|2026-06-01 04:50:18.000 +0530|
55|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|3743EBB8-F8C5-4F35-A5BA-E8BF212AFF1E|driver   |          77821|       36.471|     57.647|      100.0|          100.0|     57.647|     71.765|    71.765|            3.0|            0.0|                0.0|            3.0|            2.0|           2.0|      1780292653000|                   |                       |      1780292893000|      1780291393000|     1780293140000|1780290403000|1780292953000|            2550|{"endLatitude": 41.50203917, "endLongitude": -81.6841725, "startLatitude": 41.2445575, "endDescription": "1813 E 12th St Cleveland, OH", "startLongitude": -81.17530778333332, "startDescription": "9270 Limeridge Rd Mantua, OH"}                         |{"weatherCode": 113, "weatherWind": 4.0, "weatherTempLow": 9.0, "weatherTempHigh": 14.0}  |2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-01 05:44:13.000 +0530|                             |                                |2026-06-01 05:48:13.000 +0530|2026-06-01 05:23:13.000 +0530|2026-06-01 05:52:20.000 +0530|2026-06-01 05:06:43.000 +0530|2026-06-01 05:49:13.000 +0530|
56|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|FC0F6BAF-B7A0-4125-98E2-9078C1EA196A|driver   |           3617|        100.0|      100.0|      100.0|          100.0|      100.0|      100.0|     100.0|               |               |                   |               |               |              |                   |                   |                       |                   |                   |                  |1780693099000|1780693384000|             285|{"endLatitude": 44.75404193, "endLongitude": -85.57331924, "startLatitude": 44.74555638333333, "endDescription": "738 Munson Ave Traverse City, MI", "startLongitude": -85.53857333333332, "startDescription": "1870 US-31 Traverse City, MI"}             |                                                                                          |2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|                             |                             |                                |                             |                             |                             |2026-06-05 20:58:19.000 +0530|2026-06-05 21:03:04.000 +0530|
57|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|FB748A1F-8BEC-4DE4-8F59-8F8DEECCDDD1|driver   |          11048|          0.0|       40.0|       40.0|          100.0|        0.0|      100.0|       0.0|               |               |                   |               |               |              |                   |                   |                       |                   |                   |                  |1780682921000|1780683806000|             885|{"endLatitude": 44.74522854, "endLongitude": -85.53854527, "startLatitude": 44.76406138333333, "endDescription": "1850 US-31 Traverse City, MI", "startLongitude": -85.62478000000002, "startDescription": "120 W Front St Traverse City, MI"}             |{"weatherCode": 116, "weatherWind": 19.0, "weatherTempLow": 31.0, "weatherTempHigh": 31.0}|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|                             |                             |                                |                             |                             |                             |2026-06-05 18:08:41.000 +0530|2026-06-05 18:23:26.000 +0530|
58|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|C0B143E7-EF1F-40E6-BAF4-B1C4FA054812|driver   |           4451|         82.0|      100.0|      100.0|          100.0|       80.0|      100.0|      80.0|               |               |                   |               |               |              |                   |                   |                       |                   |                   |                  |1780677976000|1780678491000|             515|{"endLatitude": 44.76404222, "endLongitude": -85.62437972, "startLatitude": 44.73365471666666, "endDescription": "113 W Front St Traverse City, MI", "startLongitude": -85.62559861666665, "startDescription": "3236–3270 Cass Rd Traverse City, MI"}      |{"weatherCode": 116, "weatherWind": 19.0, "weatherTempLow": 31.0, "weatherTempHigh": 31.0}|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|                             |                             |                                |                             |                             |                             |2026-06-05 16:46:16.000 +0530|2026-06-05 16:54:51.000 +0530|
59|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|111E9F15-F4A7-4C99-899E-633773DD0AF5|driver   |         278285|       54.685|     90.846|     86.268|          100.0|     67.959|      100.0|    54.228|               |               |                   |               |               |              |                   |                   |                       |                   |                   |                  |1780669927000|1780677792000|            7865|{"endLatitude": 44.73327305, "endLongitude": -85.62562138, "startLatitude": 43.56154028333334, "endDescription": "3234 Cass Rd Traverse City, MI", "startLongitude": -83.94618000000001, "startDescription": "6180 Westside Saginaw Rd Bay City, MI"}      |{"weatherCode": 116, "weatherWind": 19.0, "weatherTempLow": 31.0, "weatherTempHigh": 31.0}|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|                             |                             |                                |                             |                             |                             |2026-06-05 14:32:07.000 +0530|2026-06-05 16:43:12.000 +0530|
60|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|8036E810-6EB0-4C3D-988F-2BE71F73448E|driver   |         225362|       62.061|      100.0|     94.379|          100.0|     60.656|      100.0|    60.656|               |               |                   |               |               |              |                   |                   |                       |                   |                   |                  |1780662968000|1780669373000|            6405|{"endLatitude": 43.56170947, "endLongitude": -83.94634802, "startLatitude": 42.23880583333333, "endDescription": "6180 Westside Saginaw Rd Bay City, MI", "startLongitude": -83.36504333333332, "startDescription": "33380 Wick Rd Romulus, MI"}           |{"weatherCode": 116, "weatherWind": 19.0, "weatherTempLow": 31.0, "weatherTempHigh": 31.0}|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|                             |                             |                                |                             |                             |                             |2026-06-05 12:36:08.000 +0530|2026-06-05 14:22:53.000 +0530|
61|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|CD0E53F9-B920-4310-87E3-6443D3EF47BD|driver   |           7493|         64.0|      100.0|       80.0|          100.0|       60.0|      100.0|      80.0|               |               |                   |               |               |              |                   |                   |                       |                   |                   |                  |1780660817000|1780661292000|             475|{"endLatitude": 42.23851656, "endLongitude": -83.36504945, "startLatitude": 42.22617199396998, "endDescription": "33380 Wick Rd Romulus, MI", "startLongitude": -83.34713278899984, "startDescription": "11036–11098 Rogell Dr Romulus, MI"}               |{"weatherCode": 116, "weatherWind": 19.0, "weatherTempLow": 31.0, "weatherTempHigh": 31.0}|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|                             |                             |                                |                             |                             |                             |2026-06-05 12:00:17.000 +0530|2026-06-05 12:08:12.000 +0530|
62|  3634735|0a6705a3-1147-40a6-93c5-5adb54d4647a|   3634735|hub_fleet_id_1|              353787|00uujq2ggsUWtrHCF1d7|4738475C-1D33-4FE8-8FA6-2EE3DDAFF239|driver   |          72492|       22.726|     75.468|     75.468|          100.0|     50.937|      100.0|    26.405|               |               |                   |               |               |              |                   |                   |                       |                   |                   |                  |1780657714000|1780660649000|            2935|{"endLatitude": 42.2265103, "endLongitude": -83.34690586, "startLatitude": 42.55606274256861, "endDescription": "11036–11098 Rogell Dr Romulus, MI", "startLongitude": -83.16849754514546, "startDescription": "1443 Kirts Blvd Troy, MI"}                 |{"weatherCode": 116, "weatherWind": 19.0, "weatherTempLow": 31.0, "weatherTempHigh": 31.0}|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|2026-06-10 17:34:20.265 +0530|                             |                             |                                |                             |                             |                             |2026-06-05 11:08:34.000 +0530|2026-06-05 11:57:29.000 +0530|
